			00 00 70 00 00 C8	51200	
134.41	3.13E+05		49 4C 82 52 BA 86	34490	18
134.48	0.00E+00		00 00 80 40 CC 86	34508	18
134.55	1.81E+05		37 2C 82 2C DE 86	34526	18
134.62	0.00E+00		00 00 80 18 F0 86	34544	18
134.69	3.65E+05		25 59 82 04 02 87	34562	18
134.76	0.00E+00		00 00 80 F2 13 87	34579	17
135.25	0.00E+00		00 00 80 6A 91 87	34705	126
135.32	1.67E+05		A5 28 82 56 A3 87	34723	18
135.39	3.20E+05		12 4E 82 42 B5 87	34741	18
135.46	3.80E+05		B7 5C 82 2E C7 87	34759	18
135.53	1.58E+04		B7 3D 80 1C D9 87	34777	18
135.6	7.14E+05		9B 2B 83 08 EB 87	34795	18
135.67	9.59E+05		80 3A 83 F4 FC 87	34812	17
135.74	0.00E+00		00 00 80 E0 0E 88	34830	18
135.81	0.00E+00		00 00 80 CE 20 88	34848	18
135.88	8.06E+05		32 31 83 BA 32 88	34866	18
135.95	2.22E+04		DB 56 80 A6 44 88	34884	18
136.02	2.57E+05		B7 3E 82 94 56 88	34902	18
136.09	0.00E+00		00 00 80 80 68 88	34920	18
136.37	0.00E+00		00 00 80 32 B0 88	34992	72
136.44	3.45E+04		B7 21 81 1E C2 88	35010	18
136.51	3.32E+05		EE 50 82 0C D4 88	35028	18
136.58	8.78E+03		49 22 80 F8 E5 88	35045	17
136.65	0.00E+00		00 00 80 E4 F7 88	35063	18
136.72	1.28E+05		DB 7C 81 D0 09 89	35081	18
136.79	2.93E+02		25 01 80 BE 1B 89	35099	18
136.86	0.00E+00		00 00 80 AA 2D 89	35117	18
137.28	0.00E+00		00 00 80 36 99 89	35225	108
137.35	1.55E+05		EE 25 82 22 AB 89	35243	18
137.42	0.00E+00		00 00 80 0E BD 89	35261	18
137.49	0.00E+00		00 00 80 FA CE 89	35278	17
137.56	5.33E+05		89 20 83 E8 E0 89	35296	18
137.63	6.76E+05		49 29 83 D4 F2 89	35314	18
137.7	4.77E+04		92 2E 81 C0 04 8A	35332	18
137.77	1.64E+05		EE 27 82 AE 16 8A	35350	18
137.84	6.45E+05		5B 27 83 9A 28 8A	35368	18
137.91	8.43E+05		72 33 83 86 3A 8A	35386	18
137.98	6.96E+05		80 2A 83 72 4C 8A	35404	18
138.05	0.00E+00		00 00 80 60 5E 8A	35422	18
138.12	3.28E+04		00 20 81 4C 70 8A	35440	18
138.19	0.00E+00		00 00 80 38 82 8A	35458	18
138.33	0.00E+00		00 00 80 12 A6 8A	35494	36
138.4	1.31E+05		00 20 82 FE B7 8A	35511	17
138.47	0.00E+00		00 00 80 EA C9 8A	35529	18
138.54	1.47E+05		C9 23 82 D8 DB 8A	35547	18
138.61	1.01E+05		DB 62 81 C4 ED 8A	35565	18
138.68	1.44E+05		37 23 82 B0 FF 8A	35583	18
138.75	0.00E+00		00 00 80 9C 11 8B	35601	18
138.82	2.12E+05		B7 33 82 8A 23 8B	35619	18
138.89	1.65E+05		37 28 82 76 35 8B	35637	18
138.96	7.54E+05		00 2E 83 62 47 8B	35655	18
139.03	3.27E+05		C9 4F 82 4E 59 8B	35673	18
139.1	6.67E+04		25 41 81 3C 6B 8B	35691	18
139.17	0.00E+00		00 00 80 28 7D 8B	35709	18
139.45	0.00E+00		00 00 80 DA C4 8B	35780	71
139.52	2.45E+05		B7 3B 82 C6 D6 8B	35798	18
139.59	9.01E+04		00 58 81 B4 E8 8B	35816	18
139.66	2.46E+04		00 60 80 A0 FA 8B	35834	18
139.73	8.69E+05		09 35 83 8C 0C 8C	35852	18
139.8	1.32E+04		6E 33 80 7A 1E 8C	35870	18
139.87	2.25E+05		DB 36 82 66 30 8C	35888	18
139.94	7.18E+05		CE 2B 83 52 42 8C	35906	18
140.02	1.71E+05		C9 29 82 3E 54 8C	35924	18
140.09	2.93E+02		25 01 80 2C 66 8C	35942	18
140.16	9.63E+04		00 5E 81 18 78 8C	35960	18
140.23	1.19E+05		B7 73 81 04 8A 8C	35978	18
140.3	0.00E+00		00 00 80 F0 9B 8C	35995	17
140.37	0.00E+00		00 00 80 DE AD 8C	36013	18
140.44	3.80E+04		25 25 81 CA BF 8C	36031	18
140.51	1.13E+05		49 6E 81 B6 D1 8C	36049	18
140.58	2.26E+05		49 37 82 A4 E3 8C	36067	18
140.65	0.00E+00		00 00 80 90 F5 8C	36085	18
140.72	6.38E+04		49 3E 81 7C 07 8D	36103	18
140.79	1.95E+05		92 2F 82 68 19 8D	36121	18
140.86	5.47E+04		6E 35 81 56 2B 8D	36139	18
140.93	0.00E+00		00 00 80 42 3D 8D	36157	18
141	1.23E+05		49 78 81 2E 4F 8D	36175	18
141.07	4.55E+05		12 6F 82 1A 61 8D	36193	18
141.14	2.51E+05		37 3D 82 08 73 8D	36211	18
141.21	1.39E+05		DB 21 82 F4 84 8D	36228	17
141.28	8.87E+04		92 56 81 E0 96 8D	36246	18
141.35	2.32E+05		A5 38 82 CE A8 8D	36264	18
141.42	1.46E+03		B7 05 80 BA BA 8D	36282	18
141.49	0.00E+00		00 00 80 A6 CC 8D	36300	18
141.56	4.74E+05		B7 73 82 92 DE 8D	36318	18
141.63	5.54E+05		D7 21 83 80 F0 8D	36336	18
141.7	6.06E+05		FB 24 83 6C 02 8E	36354	18
141.77	4.21E+05		B7 66 82 58 14 8E	36372	18
141.84	8.33E+05		D7 32 83 46 26 8E	36390	18
141.91	1.27E+05		49 7C 81 32 38 8E	36408	18
141.98	2.66E+04		00 68 80 1E 4A 8E	36426	18
142.05	2.43E+05		6E 3B 82 0A 5C 8E	36444	18
142.12	1.45E+05		6E 23 82 F8 6D 8E	36461	17
142.19	0.00E+00		00 00 80 E4 7F 8E	36479	18
142.4	0.00E+00		00 00 80 AA B5 8E	36533	54
142.47	1.10E+06		3B 43 83 96 C7 8E	36551	18
142.54	9.41E+05		72 39 83 82 D9 8E	36569	18
142.61	2.09E+05		00 33 82 70 EB 8E	36587	18
142.68	6.03E+05		CE 24 83 5C FD 8E	36605	18
142.75	4.52E+05		5B 6E 82 48 0F 8F	36623	18
142.82	6.49E+05		97 27 83 34 21 8F	36641	18
142.89	2.88E+05		5B 46 82 22 33 8F	36659	18
142.96	1.70E+05		80 29 82 0E 45 8F	36677	18
143.03	9.88E+05		49 3C 83 FA 56 8F	36694	17
143.1	6.57E+05		1B 28 83 E8 68 8F	36712	18
143.17	6.07E+05		0E 25 83 D4 7A 8F	36730	18
143.24	1.52E+04		6E 3B 80 C0 8C 8F	36748	18
143.31	0.00E+00		00 00 80 AC 9E 8F	36766	18
143.38	2.93E+02		25 01 80 9A B0 8F	36784	18
143.45	4.80E+04		DB 2E 81 86 C2 8F	36802	18
143.52	4.80E+05		49 75 82 72 D4 8F	36820	18
143.59	6.58E+04		49 40 81 5E E6 8F	36838	18
143.66	9.87E+05		40 3C 83 4C F8 8F	36856	18
143.73	2.79E+05		00 44 82 38 0A 90	36874	18
143.8	4.15E+05		49 65 82 24 1C 90	36892	18
143.87	2.80E+05		5B 44 82 12 2E 90	36910	18
143.94	7.05E+05		09 2B 83 FE 3F 90	36927	17
144.01	5.66E+05		8E 22 83 EA 51 90	36945	18
144.08	2.96E+05		37 48 82 D6 63 90	36963	18
144.15	0.00E+00		00 00 80 C4 75 90	36981	18
144.29	0.00E+00		00 00 80 9C 99 90	37017	36
144.36	4.39E+05		25 6B 82 88 AB 90	37035	18
144.43	5.50E+05		92 21 83 76 BD 90	37053	18
144.5	7.01E+05		C9 2A 83 62 CF 90	37071	18
144.57	1.43E+06		85 57 83 4E E1 90	37089	18
144.64	1.25E+06		49 4C 83 3C F3 90	37107	18
144.71	2.01E+06		C9 7A 83 28 05 91	37125	18
144.78	3.65E+05		37 59 82 14 17 91	37143	18
144.85	2.11E+05		6E 33 82 00 29 91	37161	18
144.92	9.06E+05		4E 37 83 EE 3A 91	37178	17
144.99	1.14E+06		D7 45 83 DA 4C 91	37196	18
145.06	6.24E+05		12 26 83 C6 5E 91	37214	18
145.13	3.78E+05		5B 5C 82 B4 70 91	37232	18
145.2	4.66E+05		A5 71 82 A0 82 91	37250	18
145.27	1.95E+05		B7 2F 82 8C 94 91	37268	18
145.34	2.44E+05		80 3B 82 78 A6 91	37286	18
145.41	8.09E+05		5B 31 83 66 B8 91	37304	18
145.48	1.14E+04		92 2C 80 52 CA 91	37322	18
145.55	3.06E+05		A5 4A 82 3E DC 91	37340	18
145.62	1.63E+05		C9 27 82 2A EE 91	37358	18
145.69	0.00E+00		00 00 80 18 00 92	37376	18
145.76	0.00E+00		00 00 80 04 12 92	37394	18
145.83	1.51E+05		DB 24 82 F0 23 92	37411	17
145.9	0.00E+00		00 00 80 DE 35 92	37429	18
145.97	1.80E+05		EE 2B 82 CA 47 92	37447	18
146.04	0.00E+00		00 00 80 B6 59 92	37465	18
146.25	0.00E+00		00 00 80 7C 8F 92	37519	54
146.32	2.62E+05		DB 3F 82 68 A1 92	37537	18
146.39	0.00E+00		00 00 80 54 B3 92	37555	18
146.46	4.57E+05		92 6F 82 42 C5 92	37573	18
146.53	1.08E+05		6E 69 81 2E D7 92	37591	18
146.6	6.06E+05		FB 24 83 1A E9 92	37609	18
146.67	3.60E+05		DB 57 82 08 FB 92	37627	18
146.74	3.42E+04		6E 21 81 F4 0C 93	37644	17
146.81	6.69E+05		CE 28 83 E0 1E 93	37662	18
146.88	1.17E+04		B7 2D 80 CC 30 93	37680	18
146.95	2.34E+05		25 39 82 BA 42 93	37698	18
147.02	3.05E+05		6E 4A 82 A6 54 93	37716	18
147.09	1.83E+05		A5 2C 82 92 66 93	37734	18
147.16	1.62E+05		A5 27 82 80 78 93	37752	18
147.23	1.38E+05		A5 21 82 6C 8A 93	37770	18
147.3	0.00E+00		00 00 80 58 9C 93	37788	18
147.44	0.00E+00		00 00 80 32 C0 93	37824	36
147.51	3.02E+05		C9 49 82 1E D2 93	37842	18
147.58	6.35E+04		00 3E 81 0A E4 93	37860	18
147.65	0.00E+00		00 00 80 F6 F5 93	37877	17
147.86	0.00E+00		00 00 80 BC 2B 94	37931	54
147.93	3.20E+05		37 4E 82 AA 3D 94	37949	18
148	0.00E+00		00 00 80 96 4F 94	37967	18
148.07	3.91E+05		5B 5F 82 82 61 94	37985	18
148.14	5.27E+03		92 14 80 6E 73 94	38003	18
148.21	0.00E+00		00 00 80 5C 85 94	38021	18
148.28	0.00E+00		00 00 80 48 97 94	38039	18
148.35	4.56E+05		37 6F 82 34 A9 94	38057	18
148.42	4.01E+05		00 62 82 20 BB 94	38075	18
148.49	1.86E+05		6E 2D 82 0E CD 94	38093	18
148.56	0.00E+00		00 00 80 FA DE 94	38110	17
148.63	0.00E+00		00 00 80 E6 F0 94	38128	18
148.7	1.81E+05		12 2C 82 D4 02 95	38146	18
148.77	9.10E+04		DB 58 81 C0 14 95	38164	18
148.84	2.00E+05		B7 30 82 AC 26 95	38182	18
148.91	1.24E+05		DB 78 81 98 38 95	38200	18
148.98	2.51E+05		5B 3D 82 86 4A 95	38218	18
149.05	0.00E+00		00 00 80 72 5C 95	38236	18
149.12	3.95E+05		5B 60 82 5E 6E 95	38254	18
149.19	6.58E+04		49 40 81 4C 80 95	38272	18
149.26	0.00E+00		00 00 80 38 92 95	38290	18
149.33	0.00E+00		00 00 80 24 A4 95	38308	18
149.4	2.08E+04		25 51 80 10 B6 95	38326	18
149.47	0.00E+00		00 00 80 FE C7 95	38343	17
149.54	0.00E+00		00 00 80 EA D9 95	38361	18
149.61	7.36E+05		E9 2C 83 D6 EB 95	38379	18
149.68	4.31E+05		49 69 82 C2 FD 95	38397	18
149.75	1.21E+05		92 76 81 B0 0F 96	38415	18
149.82	3.13E+05		80 4C 82 9C 21 96	38433	18
149.89	0.00E+00		00 00 80 88 33 96	38451	18
150.03	0.00E+00		00 00 80 62 57 96	38487	36
150.1	3.03E+05		12 4A 82 4E 69 96	38505	18
150.17	8.43E+04		49 52 81 3A 7B 96	38523	18
150.24	7.31E+03		92 1C 80 28 8D 96	38541	18
150.31	0.00E+00		00 00 80 14 9F 96	38559	18
150.38	0.00E+00		00 00 80 00 B1 96	38577	18
150.45	1.04E+05		6E 65 81 EE C2 96	38594	17
150.52	0.00E+00		00 00 80 DA D4 96	38612	18
150.66	0.00E+00		00 00 80 B2 F8 96	38648	36
150.73	1.10E+05		6E 6B 81 A0 0A 97	38666	18
150.8	5.82E+05		89 23 83 8C 1C 97	38684	18
150.87	0.00E+00		00 00 80 78 2E 97	38702	18
151.01	0.00E+00		00 00 80 52 52 97	38738	36
151.08	2.93E+05		80 47 82 3E 64 97	38756	18
151.15	8.78E+02		6E 03 80 2A 76 97	38774	18
151.22	0.00E+00		00 00 80 18 88 97	38792	18
151.29	2.93E+02		25 01 80 04 9A 97	38810	18
151.36	0.00E+00		00 00 80 F0 AB 97	38827	17
151.64	0.00E+00		00 00 80 A2 F3 97	38899	72
151.71	1.69E+05		25 29 82 8E 05 98	38917	18
151.78	0.00E+00		00 00 80 7C 17 98	38935	18
151.85	3.63E+05		92 58 82 68 29 98	38953	18
151.92	1.29E+04		49 32 80 54 3B 98	38971	18
151.99	0.00E+00		00 00 80 42 4D 98	38989	18
152.06	0.00E+00		00 00 80 2E 5F 98	39007	18
152.13	2.39E+05		5B 3A 82 1A 71 98	39025	18
152.2	1.55E+04		92 3C 80 06 83 98	39043	18
152.27	0.00E+00		00 00 80 F4 94 98	39060	17
152.34	0.00E+00		00 00 80 E0 A6 98	39078	18
152.41	1.55E+05		EE 25 82 CC B8 98	39096	18
152.48	4.25E+05		DB 67 82 BA CA 98	39114	18
152.55	1.46E+03		B7 05 80 A6 DC 98	39132	18
152.62	0.00E+00		00 00 80 92 EE 98	39150	18
152.69	1.11E+05		00 6C 81 7E 00 99	39168	18
152.76	5.56E+03		B7 15 80 6C 12 99	39186	18
152.83	0.00E+00		00 00 80 58 24 99	39204	18
153.46	0.00E+00		00 00 80 A8 C5 99	39365	161
153.53	3.00E+05		49 49 82 96 D7 99	39383	18
153.6	0.00E+00		00 00 80 82 E9 99	39401	18
153.67	8.83E+05		E0 35 83 6E FB 99	39419	18
153.74	1.70E+04		49 42 80 5A 0D 9A	39437	18
153.81	2.46E+04		00 60 80 48 1F 9A	39455	18
153.88	5.56E+05		EE 21 83 34 31 9A	39473	18
153.95	9.01E+05		F7 36 83 20 43 9A	39491	18
154.02	1.94E+05		5B 2F 82 0E 55 9A	39509	18
154.09	1.21E+05		B7 75 81 FA 66 9A	39526	17
154.16	1.52E+04		6E 3B 80 E6 78 9A	39544	18
154.23	0.00E+00		00 00 80 D2 8A 9A	39562	18
154.44	0.00E+00		00 00 80 98 C0 9A	39616	54
154.51	3.13E+05		49 4C 82 86 D2 9A	39634	18
154.58	3.32E+05		EE 50 82 72 E4 9A	39652	18
154.65	4.72E+05		37 73 82 5E F6 9A	39670	18
154.72	1.41E+05		6E 22 82 4A 08 9B	39688	18
154.79	0.00E+00		00 00 80 38 1A 9B	39706	18
154.86	4.17E+05		B7 65 82 24 2C 9B	39724	18
154.93	2.97E+05		92 48 82 10 3E 9B	39742	18
155	7.84E+04		92 4C 81 FC 4F 9B	39759	17
155.07	4.67E+05		00 72 82 EA 61 9B	39777	18
155.14	6.73E+03		49 1A 80 D6 73 9B	39795	18
155.21	0.00E+00		00 00 80 C2 85 9B	39813	18
155.28	0.00E+00		00 00 80 B0 97 9B	39831	18
155.35	2.93E+02		25 01 80 9C A9 9B	39849	18
155.42	0.00E+00		00 00 80 88 BB 9B	39867	18
155.77	0.00E+00		00 00 80 26 15 9C	39957	90
155.84	2.26E+05		25 37 82 14 27 9C	39975	18
155.91	2.93E+02		25 01 80 00 39 9C	39993	18
155.98	0.00E+00		00 00 80 EC 4A 9C	40010	17
156.05	0.00E+00		00 00 80 DA 5C 9C	40028	18
156.12	1.48E+05		00 24 82 C6 6E 9C	40046	18
156.19	1.47E+05		C9 23 82 B2 80 9C	40064	18
156.26	1.08E+05		B7 69 81 9E 92 9C	40082	18
156.33	0.00E+00		00 00 80 8C A4 9C	40100	18
156.4	0.00E+00		00 00 80 78 B6 9C	40118	18
156.47	4.21E+05		C9 66 82 64 C8 9C	40136	18
156.54	2.92E+05		49 47 82 52 DA 9C	40154	18
156.61	2.60E+05		5B 3F 82 3E EC 9C	40172	18
156.68	7.90E+04		25 4D 81 2A FE 9C	40190	18
156.75	2.37E+05		EE 39 82 16 10 9D	40208	18
156.82	2.50E+05		12 3D 82 04 22 9D	40226	18
156.89	1.76E+05		00 2B 82 F0 33 9D	40243	17
156.96	2.08E+05		DB 32 82 DC 45 9D	40261	18
157.03	2.60E+05		6E 3F 82 C8 57 9D	40279	18
157.1	5.62E+05		45 22 83 B6 69 9D	40297	18
157.17	5.19E+05		A5 7E 82 A2 7B 9D	40315	18
157.24	1.94E+05		5B 2F 82 8E 8D 9D	40333	18
157.31	1.40E+05		25 22 82 7C 9F 9D	40351	18
157.38	2.49E+05		DB 3C 82 68 B1 9D	40369	18
157.45	0.00E+00		00 00 80 54 C3 9D	40387	18
157.52	8.26E+05		6E 32 83 40 D5 9D	40405	18
157.59	3.51E+05		C9 55 82 2E E7 9D	40423	18
157.66	1.41E+06		FB 55 83 1A F9 9D	40441	18
157.73	5.64E+05		65 22 83 06 0B 9E	40459	18
157.81	6.71E+05		F2 28 83 F4 1C 9E	40476	17
157.88	3.51E+05		C9 55 82 E0 2E 9E	40494	18
157.95	9.80E+05		CE 3B 83 CC 40 9E	40512	18
158.02	8.66E+05		D7 34 83 B8 52 9E	40530	18
158.09	1.25E+06		FB 4B 83 A6 64 9E	40548	18
158.16	9.97E+05		D7 3C 83 92 76 9E	40566	18
158.23	9.96E+05		C9 3C 83 7E 88 9E	40584	18
158.3	6.04E+05		DB 24 83 6A 9A 9E	40602	18
158.37	2.30E+06		27 23 84 58 AC 9E	40620	18
158.44	2.16E+06		E1 20 84 44 BE 9E	40638	18
158.51	2.24E+06		3B 22 84 30 D0 9E	40656	18
158.58	5.42E+06		9F 52 84 1E E2 9E	40674	18
158.65	5.77E+06		10 58 84 0A F4 9E	40692	18
158.72	3.96E+06		63 3C 84 F6 05 9F	40709	17
158.79	4.75E+06		83 48 84 E2 17 9F	40727	18
158.86	2.34E+06		B8 23 84 D0 29 9F	40745	18
158.93	2.81E+06		D7 2A 84 BC 3B 9F	40763	18
159	2.50E+06		11 26 84 A8 4D 9F	40781	18
159.07	2.23E+06		15 22 84 94 5F 9F	40799	18
159.14	5.78E+05		45 23 83 82 71 9F	40817	18
159.21	7.70E+05		F7 2E 83 6E 83 9F	40835	18
159.28	7.26E+04		DB 46 81 5A 95 9F	40853	18
159.35	5.85E+02		49 02 80 48 A7 9F	40871	18
159.42	1.04E+05		00 66 81 34 B9 9F	40889	18
159.49	4.23E+05		37 67 82 20 CB 9F	40907	18
159.56	7.36E+05		E9 2C 83 0C DD 9F	40925	18
159.63	4.48E+05		5B 6D 82 FA EE 9F	40942	17
159.7	1.16E+05		6E 71 81 E6 00 A0	40960	18
159.77	3.38E+05		6E 52 82 D2 12 A0	40978	18
159.84	2.99E+05		12 49 82 C0 24 A0	40996	18
159.91	6.21E+05		E5 25 83 AC 36 A0	41014	18
159.98	2.01E+05		00 31 82 98 48 A0	41032	18
160.05	5.81E+05		72 23 83 84 5A A0	41050	18
160.12	8.34E+04		6E 51 81 72 6C A0	41068	18
160.19	0.00E+00		00 00 80 5E 7E A0	41086	18
160.26	4.32E+05		80 69 82 4A 90 A0	41104	18
160.33	2.31E+05		5B 38 82 36 A2 A0	41122	18
160.4	1.19E+05		49 74 81 24 B4 A0	41140	18
160.47	2.15E+05		6E 34 82 10 C6 A0	41158	18
160.54	2.55E+05		5B 3E 82 FC D7 A0	41175	17
160.61	3.28E+05		00 50 82 EA E9 A0	41193	18
160.68	5.63E+05		5B 22 83 D6 FB A0	41211	18
160.75	1.14E+05		DB 6E 81 C2 0D A1	41229	18
160.82	0.00E+00		00 00 80 AE 1F A1	41247	18
160.89	1.36E+05		25 21 82 9C 31 A1	41265	18
160.96	3.43E+05		B7 53 82 88 43 A1	41283	18
161.03	2.93E+02		25 01 80 74 55 A1	41301	18
161.1	2.93E+02		25 01 80 60 67 A1	41319	18
161.17	0.00E+00		00 00 80 4E 79 A1	41337	18
161.24	0.00E+00		00 00 80 3A 8B A1	41355	18
161.31	1.46E+03		B7 05 80 26 9D A1	41373	18
161.38	0.00E+00		00 00 80 14 AF A1	41391	18
161.45	0.00E+00		00 00 80 00 C1 A1	41409	18
161.52	2.28E+05		A5 37 82 EC D2 A1	41426	17
161.59	1.52E+05		12 25 82 D8 E4 A1	41444	18
161.66	0.00E+00		00 00 80 C6 F6 A1	41462	18
161.73	8.75E+05		60 35 83 B2 08 A2	41480	18
161.8	2.49E+05		C9 3C 82 9E 1A A2	41498	18
161.87	0.00E+00		00 00 80 8C 2C A2	41516	18
162.15	0.00E+00		00 00 80 3E 74 A2	41588	72
162.22	2.43E+05		37 3B 82 2A 86 A2	41606	18
162.29	0.00E+00		00 00 80 16 98 A2	41624	18
162.64	0.00E+00		00 00 80 B6 F1 A2	41713	89
162.71	8.49E+03		25 21 80 A2 03 A3	41731	18
162.78	1.23E+04		00 30 80 8E 15 A3	41749	18
162.85	0.00E+00		00 00 80 7A 27 A3	41767	18
162.92	1.98E+05		37 30 82 68 39 A3	41785	18
162.99	2.46E+05		EE 3B 82 54 4B A3	41803	18
163.06	0.00E+00		00 00 80 40 5D A3	41821	18
163.13	2.50E+05		12 3D 82 2C 6F A3	41839	18
163.2	0.00E+00		00 00 80 1A 81 A3	41857	18
163.27	0.00E+00		00 00 80 06 93 A3	41875	18
163.34	8.16E+04		B7 4F 81 F2 A4 A3	41892	17
163.41	4.65E+05		6E 71 82 E0 B6 A3	41910	18
163.48	2.15E+05		6E 34 82 CC C8 A3	41928	18
163.55	0.00E+00		00 00 80 B8 DA A3	41946	18
163.62	6.73E+03		49 1A 80 A4 EC A3	41964	18
163.69	3.90E+05		25 5F 82 92 FE A3	41982	18
163.76	3.56E+05		C9 56 82 7E 10 A4	42000	18
163.83	1.12E+05		B7 6D 81 6A 22 A4	42018	18
163.9	0.00E+00		00 00 80 58 34 A4	42036	18
163.97	8.81E+04		00 56 81 44 46 A4	42054	18
164.04	0.00E+00		00 00 80 30 58 A4	42072	18
164.18	0.00E+00		00 00 80 0A 7C A4	42108	36
164.25	2.90E+05		C9 46 82 F6 8D A4	42125	17
164.32	2.93E+02		25 01 80 E2 9F A4	42143	18
164.39	0.00E+00		00 00 80 CE B1 A4	42161	18
164.46	0.00E+00		00 00 80 BC C3 A4	42179	18
164.53	1.62E+05		6E 27 82 A8 D5 A4	42197	18
164.6	0.00E+00		00 00 80 94 E7 A4	42215	18
164.88	0.00E+00		00 00 80 46 2F A5	42287	72
164.95	1.12E+06		20 44 83 34 41 A5	42305	18
165.02	2.82E+05		B7 44 82 20 53 A5	42323	18
165.09	0.00E+00		00 00 80 0C 65 A5	42341	18
165.16	3.46E+05		6E 54 82 FA 76 A5	42358	17
165.23	8.49E+03		25 21 80 E6 88 A5	42376	18
165.3	0.00E+00		00 00 80 D2 9A A5	42394	18
165.44	0.00E+00		00 00 80 AC BE A5	42430	36
165.51	1.01E+05		92 62 81 98 D0 A5	42448	18
165.58	1.24E+05		DB 78 81 84 E2 A5	42466	18
165.65	0.00E+00		00 00 80 70 F4 A5	42484	18
165.93	0.00E+00		00 00 80 24 3C A6	42556	72
166	3.79E+05		92 5C 82 10 4E A6	42574	18
166.07	5.24E+04		25 33 81 FC 5F A6	42591	17
166.14	8.98E+04		B7 57 81 E8 71 A6	42609	18
166.21	2.52E+05		6E 3D 82 D6 83 A6	42627	18
166.28	7.31E+03		92 1C 80 C2 95 A6	42645	18
166.35	1.21E+05		92 76 81 AE A7 A6	42663	18
166.42	5.65E+04		25 37 81 9A B9 A6	42681	18
166.49	1.07E+06		12 41 83 88 CB A6	42699	18
166.56	5.76E+05		20 23 83 74 DD A6	42717	18
166.63	1.58E+04		B7 3D 80 60 EF A6	42735	18
166.7	1.93E+04		6E 4B 80 4E 01 A7	42753	18
166.77	5.38E+05		D2 20 83 3A 13 A7	42771	18
166.84	4.61E+05		6E 70 82 26 25 A7	42789	18
166.91	6.01E+05		A9 24 83 12 37 A7	42807	18
166.98	3.10E+05		B7 4B 82 00 49 A7	42825	18
167.05	9.26E+05		85 38 83 EC 5A A7	42842	17
167.12	4.16E+05		92 65 82 D8 6C A7	42860	18
167.19	1.46E+03		B7 05 80 C6 7E A7	42878	18
167.26	0.00E+00		00 00 80 B2 90 A7	42896	18
167.33	2.93E+02		25 01 80 9E A2 A7	42914	18
167.4	2.37E+05		C9 39 82 8A B4 A7	42932	18
167.47	0.00E+00		00 00 80 78 C6 A7	42950	18
167.54	2.93E+02		25 01 80 64 D8 A7	42968	18
167.61	0.00E+00		00 00 80 50 EA A7	42986	18
167.68	0.00E+00		00 00 80 3C FC A7	43004	18
167.75	2.93E+02		25 01 80 2A 0E A8	43022	18
167.82	0.00E+00		00 00 80 16 20 A8	43040	18
167.89	1.29E+05		B7 7D 81 02 32 A8	43058	18
167.96	0.00E+00		00 00 80 F0 43 A8	43075	17
168.31	0.00E+00		00 00 80 8E 9D A8	43165	90
168.38	2.53E+05		C9 3D 82 7A AF A8	43183	18
168.45	3.98E+04		DB 26 81 66 C1 A8	43201	18
168.52	2.67E+05		37 41 82 54 D3 A8	43219	18
168.59	0.00E+00		00 00 80 40 E5 A8	43237	18
168.8	0.00E+00		00 00 80 06 1B A9	43291	54
168.87	1.27E+05		00 7C 81 F2 2C A9	43308	17
168.94	7.14E+04		B7 45 81 DE 3E A9	43326	18
169.01	0.00E+00		00 00 80 CC 50 A9	43344	18
169.08	0.00E+00		00 00 80 B8 62 A9	43362	18
169.15	7.69E+05		E9 2E 83 A4 74 A9	43380	18
169.22	1.18E+05		DB 72 81 92 86 A9	43398	18
169.29	0.00E+00		00 00 80 7E 98 A9	43416	18
169.36	0.00E+00		00 00 80 6A AA A9	43434	18
169.43	2.06E+05		5B 32 82 56 BC A9	43452	18
169.5	0.00E+00		00 00 80 44 CE A9	43470	18
169.57	0.00E+00		00 00 80 30 E0 A9	43488	18
169.64	2.93E+02		25 01 80 1C F2 A9	43506	18
169.71	0.00E+00		00 00 80 08 04 AA	43524	18
169.78	3.97E+05		DB 60 82 F6 15 AA	43541	17
169.85	3.82E+05		37 5D 82 E2 27 AA	43559	18
169.92	8.78E+02		6E 03 80 CE 39 AA	43577	18
169.99	1.84E+05		DB 2C 82 BC 4B AA	43595	18
170.06	3.00E+05		25 49 82 A8 5D AA	43613	18
170.13	2.98E+05		C9 48 82 94 6F AA	43631	18
170.2	1.44E+05		37 23 82 80 81 AA	43649	18
170.27	0.00E+00		00 00 80 6E 93 AA	43667	18
170.41	0.00E+00		00 00 80 46 B7 AA	43703	36
170.48	1.57E+05		37 26 82 34 C9 AA	43721	18
170.55	0.00E+00		00 00 80 20 DB AA	43739	18
170.62	9.34E+05		FB 38 83 0C ED AA	43757	18
170.69	2.88E+05		37 46 82 F8 FE AA	43774	17
170.76	3.42E+05		6E 53 82 E6 10 AB	43792	18
170.83	1.96E+05		EE 2F 82 D2 22 AB	43810	18
170.9	4.24E+04		6E 29 81 BE 34 AB	43828	18
170.97	4.57E+05		80 6F 82 AA 46 AB	43846	18
171.04	0.00E+00		00 00 80 98 58 AB	43864	18
171.11	2.90E+05		C9 46 82 84 6A AB	43882	18
171.18	4.85E+05		5B 76 82 70 7C AB	43900	18
171.25	0.00E+00		00 00 80 5E 8E AB	43918	18
171.39	0.00E+00		00 00 80 36 B2 AB	43954	36
171.46	1.21E+05		49 76 81 22 C4 AB	43972	18
171.53	3.39E+04		25 21 81 10 D6 AB	43990	18
